id_præd;id_præst;præst_navn;id_dok;dato;periode;helligdag;udgivelses_type;udgiver;stift;år_født;år_død;stilling;affiliation;afviger;txt;final;bemærkninger;;;;;
101;19;Kaj Harald Leininger Munk;pr101_19;1941-11-09;1940-1945;22tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
102;19;Kaj Harald Leininger Munk;pr102_19;1941-11-16;1940-1945;23tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;om forholdet til staten;;;;;
103;19;Kaj Harald Leininger Munk;pr103_19;1941-11-23;1940-1945;24tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Om elskov, kvindelighed;;;;;
104;19;Kaj Harald Leininger Munk;pr104_19;NA;1940-1945;25tri_1;psa;Aalborg Universitetesforlag;NA;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
105;19;Kaj Harald Leininger Munk;pr105_19;1941-11-30;1940-1945;1adv_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
106;19;Kaj Harald Leininger Munk;pr106_19;1941-12-07;1940-1945;2adv_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
107;19;Kaj Harald Leininger Munk;pr107_19;1941-12-14;1940-1945;3adv_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
108;19;Kaj Harald Leininger Munk;pr108_19;1941-12-21;1940-1945;4adv_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
109;19;Kaj Harald Leininger Munk;pr109_19;1941-12-24;1940-1945;jua_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
110;19;Kaj Harald Leininger Munk;pr110_19;1941-12-28;1940-1945;jus_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
111;19;Kaj Harald Leininger Munk;pr111_19;1942-01-04;1940-1945;hel_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
112;19;Kaj Harald Leininger Munk;pr112_19;1942-01-11;1940-1945;1hel_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;børnegudstjenste;;;;;
113;19;Kaj Harald Leininger Munk;pr113_19;1942-01-18;1940-1945;2hel_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
114;19;Kaj Harald Leininger Munk;pr114_19;1942-01-25;1940-1945;3hel_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Om Jesu syn på militæret (mod pacifismen);;;;;
115;19;Kaj Harald Leininger Munk;pr115_19;1942-02-01;1940-1945;4hel_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
116;19;Kaj Harald Leininger Munk;pr116_19;1942-02-01;1940-1945;sep_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Om Munks besøg hos Richard - om kristenmenneske forbedring;;;;;
117;19;Kaj Harald Leininger Munk;pr117_19;1942-02-08;1940-1945;sek_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
118;19;Kaj Harald Leininger Munk;pr118_19;1942-02-22;1940-1945;1fas_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
119;19;Kaj Harald Leininger Munk;pr119_19;1942-03-01;1940-1945;2fas_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
120;19;Kaj Harald Leininger Munk;pr120_19;1942-03-08;1940-1945;3fas_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
121;19;Kaj Harald Leininger Munk;pr121_19;1942-03-15;1940-1945;mfa_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
122;19;Kaj Harald Leininger Munk;pr122_19;1942-03-22;1940-1945;mbe_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
123;19;Kaj Harald Leininger Munk;pr123_19;1942-07-12;1940-1945;6tri_2;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
124;19;Kaj Harald Leininger Munk;pr124_19;1942-07-19;1940-1945;7tri_2;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
125;19;Kaj Harald Leininger Munk;pr125_19;1942-12-13;1940-1945;3adv_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
